citrusfruit,semi-finished bread,margarine,ready soups,butter,curd,grapes,pork,curd
beef,beef,butter,,yogurt,frozen meals,,,
beef,beef,frozen vegetables,,,,,,
beef,beef,other vegetables,,butter,other vegetables,other vegetables,frozen meals,other vegetables
beef,beef,tropicalfruit,,butter,yogurt,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,beef,,,,,,,
beef,brownbread,curd,wholemilk,root vegetables,domesticeggs,grapes,,
beef,brownbread,other vegetables,,frozen meals,frozen meals,specialty chocolate,tropicalfruit,wholemilk
beef,brownbread,tropicalfruit,curd,beef,yogurt,,,
beef,brownbread,wholemilk,beef,packaged fruit/vegetables,buttermilk,,,
beef,brownbread,wholemilk,yogurt,soft cheese,yogurt,,,
beef,brownbread,,,,,,,
beef,brownbread,,,,,,,
beef,brownbread,,,,,,,
beef,brownbread,,,,,,,
beef,butter,curd,wholemilk,,,,,
beef,butter,root vegetables,,pork,specialty chocolate,other vegetables,frozen meals,frozen vegetables
beef,butter,root vegetables,wholemilk,,,,,
beef,butter,wholemilk,yogurt,yogurt,root vegetables,wholemilk,pork,wholemilk
beef,butter,,,,,,,
beef,butter,,,,,,,
beef,butter,,,,,,,
beef,buttermilk,brownbread,,rolls/buns,wholemilk,,,
beef,buttermilk,other vegetables,brownbread,grapes,flour,,,
beef,buttermilk,,,,,,,
beef,buttermilk,,,,,,,
beef,cannedfish,,,,,,,
beef,canned vegetables,,,,,,,
beef,cereals,wholemilk,tropicalfruit,,,,,
beef,citrusfruit,butter,curd,frozen vegetables,wholemilk,,,
beef,citrusfruit,buttermilk,,wholemilk,,,,
beef,citrusfruit,curd,wholemilk,wholemilk,yogurt,,,
beef,citrusfruit,frozen vegetables,grapes,root vegetables,curd,,,
beef,citrusfruit,frozen vegetables,wholemilk,,,,,
beef,citrusfruit,other vegetables,,rolls/buns,fruit/vegetable juice,curd,yogurt,butter
beef,citrusfruit,other vegetables,wholemilk,grapes,yogurt,,,
beef,citrusfruit,root vegetables,tropicalfruit,soft cheese,fruit/vegetable juice,,,
beef,citrusfruit,tropicalfruit,wholemilk,hamburger meat,tropicalfruit,frozen potato products,wholemilk,pork
beef,citrusfruit,wholemilk,beef,rolls/buns,citrusfruit,,,
beef,citrusfruit,yogurt,,,,,,
beef,citrusfruit,,,,,,,
beef,citrusfruit,,,,,,,
beef,citrusfruit,,,,,,,
beef,citrusfruit,,,,,,,
beef,cream cheese ,domesticeggs,yogurt,butter,other vegetables,,,
beef,cream cheese ,yogurt,,tropicalfruit,other vegetables,,,
beef,cream cheese ,,,,,,,
beef,cream cheese ,,,,,,,
beef,curd,domesticeggs,grapes,domesticeggs,wholemilk,,,
beef,curd,pip fruit,butter,root vegetables,wholemilk,,,
beef,curd,root vegetables,wholemilk,rolls/buns,butter,,,
beef,curd,wholemilk,wholemilk,wholemilk,yogurt,,,
beef,curd,wholemilk,wholemilk,,,,,
beef,curd,yogurt,,,,,,
beef,curd,yogurt,,,,,,
beef,curd,yogurt,,citrusfruit,frozen potato products,,,
beef,curd,,,,,,,
beef,curd,,,,,,,
beef,domesticeggs,beef,brownbread,brownbread,yogurt,root vegetables,yogurt,yogurt
beef,domesticeggs,buttermilk,curd,wholemilk,domesticeggs,,,
beef,domesticeggs,other vegetables,curd,yogurt,,,,
beef,domesticeggs,other vegetables,wholemilk,yogurt,yogurt,,,
beef,domesticeggs,other vegetables,yogurt,hamburger meat,curd,,,
beef,domesticeggs,other vegetables,yogurt,,,,,
beef,domesticeggs,tropicalfruit,cereals,root vegetables,wholemilk,,,
beef,domesticeggs,,,,,,,
beef,frozen fish,other vegetables,,pork,domesticeggs,,,
beef,frozen meals,tropicalfruit,curd,,,,,
beef,frozen meals,,,,,,,
beef,frozen meals,,,,,,,
beef,frozen vegetables,specialty chocolate,wholemilk,,,,,
beef,frozen vegetables,tropicalfruit,domesticeggs,,,,,
beef,frozen vegetables,tropicalfruit,,,,,,
beef,frozen vegetables,,,,,,,
beef,frozen vegetables,,,,,,,
beef,fruit/vegetable juice,brownbread,buttermilk,,,,,
beef,fruit/vegetable juice,frozen vegetables,wholemilk,citrusfruit,other vegetables,other vegetables,cannedfish,yogurt
beef,fruit/vegetable juice,fruit/vegetable juice,wholemilk,citrusfruit,wholemilk,,,
beef,fruit/vegetable juice,other vegetables,wholemilk,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,
beef,fruit/vegetable juice,,,,,,,
beef,grapes,cannedfish,yogurt,,,,,
beef,grapes,other vegetables,buttermilk,rolls/buns,other vegetables,tropicalfruit,pork,fruit/vegetable juice
beef,grapes,pip fruit,grapes,beef,brownbread,,,
beef,grapes,,,,,,,
beef,hamburger meat,curd,butter,pork,frozen meals,,,
beef,hamburger meat,frozen fish,butter,,,,,
beef,hamburger meat,frozen vegetables,,,,,,
